ProductId,Gender,Item-type,Itemcategory,ProductType,Colour,Pattern,Material,Brand,Style,Sub-Style,Specific Style,ProductTitle,Image,ImageURL
39583,Women,Footwear,Shoes,Heels,Red,Floral,leather,Adidas,Casual,Everyday,Basic,Catwalk Women Red Flats,39583.jpg,http://assets.myntassets.com/v1/images/style/properties/f79912503e091e645cc5ad89e3746257_images.jpg
38506,Women,Apparel,Bottomwear,Capris,Pink,Solid,cotton,Nike,Casual,Everyday,Basic,Gini and Jony Women Woven Pink Pedal Pusher,38506.jpg,http://assets.myntassets.com/v1/images/style/properties/0fe19b1763b81265b02894e87fcd9d2a_images.jpg
32812,Women,Footwear,Shoes,Heels,Black,Floral,leather,Puma,Casual,Everyday,Basic,iPanema Women Ritmos Black Flats,32812.jpg,http://assets.myntassets.com/v1/images/style/properties/450c993ee4d0bbca5ef5015978d678b7_images.jpg
35453,Men,Apparel,Topwear,Tshirts,White,Geometric,cotton,Reebok,Casual,Everyday,Basic,Doodle Men Printed White T-shirt,35453.jpg,http://assets.myntassets.com/v1/images/style/properties/f3aae7f34c7429ec0cdefd09861d5756_images.jpg
3551,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,leather,Converse,Casual,Everyday,Basic,Skechers Men's Charcoal Lifestyle Shoe,3551.jpg,http://assets.myntassets.com/v1/images/style/properties/cbfbb7dc1aee995012f8bc9cda960063_images.jpg
34023,Men,Apparel,Topwear,Tshirts,Green,Solid,cotton,Vans,Casual,Everyday,Basic,Palm Tree Men Printed Green T-shirt,34023.jpg,http://assets.myntassets.com/v1/images/style/properties/0e920cd506d955d767b0c3c9f19825e7_images.jpg
3301,Women,Footwear,Shoes,Sports Shoes,White,Striped,canvas,Skechers,Sports,Athletic,Training,Asics Women Gel Cushioning White Pink Shoe,3301.jpg,http://assets.myntassets.com/v1/images/style/properties/Asics-Women-Gel-Cushioning-White-Pink-Shoe_6d9b860f1d884359880b5180dc1e1544_images.jpg
22500,Women,Footwear,Shoes,Casual Shoes,Blue,Solid,leather,Crocs,Casual,Everyday,Basic,Catwalk Women Blue Casual Shoes,22500.jpg,http://assets.myntassets.com/v1/images/style/properties/739dcbf6e32c6ee9236e444a01b49c8d_images.jpg
49600,Women,Footwear,Shoes,Heels,White,Solid,leather,Clarks,Casual,Everyday,Basic,Catwalk Women White Flats,49600.jpg,http://assets.myntassets.com/v1/images/style/properties/569ae45b0735189f09a9c4a81606cd4d_images.jpg
33088,Women,Footwear,Shoes,Heels,Gold,Geometric,leather,Bata,Casual,Everyday,Basic,Catwalk Women Gold Flats,33088.jpg,http://assets.myntassets.com/v1/images/style/properties/ca819fc95ae22193255179d3af2981ba_images.jpg
38941,Men,Apparel,Bottomwear,Shorts,Blue,Solid,denim,ASICS,Casual,Everyday,Basic,Gini and Jony Men Blue Shorts,38941.jpg,http://assets.myntassets.com/v1/images/style/properties/1577780d6110a11119c9e043d5bdaada_images.jpg
13562,Women,Footwear,Shoes,Heels,Purple,Solid,leather,New Balance,Casual,Everyday,Basic,Carlton London Women Casual Purple Flats,13562.jpg,http://assets.myntassets.com/v1/images/style/properties/58697c8cd4309fe63dc3a13e014b834e_images.jpg
34032,Men,Apparel,Topwear,Shirts,Green,Check,cotton,Under Armour,Casual,Everyday,Basic,Gini and Jony Men Check Green Shirt,34032.jpg,http://assets.myntassets.com/v1/images/style/properties/75e759b1d9d9bf4cb69a87668433c8b1_images.jpg
2738,Men,Apparel,Topwear,Tshirts,White,Geometric,cotton,Woodland,Casual,Everyday,Basic,Disney Kids Boy's Double Fun Kidswear,2738.jpg,http://assets.myntassets.com/v1/images/style/properties/98e2cbda9777f1f29169df99f43d52d4_images.jpg
3892,Women,Apparel,Topwear,Tshirts,Pink,Geometric,cotton,Sparx,Casual,Everyday,Basic,Disney Kids Girl's Pink Minnie Top With Green Bow Kidswear,3892.jpg,http://assets.myntassets.com/v1/images/style/properties/b3815b9becf3b7599396630e6d767602_images.jpg
36751,Women,Apparel,Topwear,Tops,White,Striped,cotton,Red Tape,Casual,Everyday,Basic,Little Miss Women Blah White Top,36751.jpg,http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg
36316,Men,Apparel,Topwear,Tshirts,White,Geometric,cotton,UCB,Casual,Everyday,Basic,Mr.Men Men Mr. Messy White T-shirt,36316.jpg,http://assets.myntassets.com/v1/images/style/properties/82ffc0d51a29047689e682c6e6d79a06_images.jpg
35892,Men,Apparel,Topwear,Tshirts,White,Floral,cotton,Van Heusen,Casual,Everyday,Basic,Jungle Book Men Lucky White T-shirt,35892.jpg,http://assets.myntassets.com/v1/images/style/properties/d08dc8fd391c00f27388e2b3b2f0cce1_images.jpg
30728,Women,Apparel,Bottomwear,Salwar,Orange,Floral,cotton,Wrangler,Ethnic,Traditional,Cultural,Fabindia Women Orange Mangalgiri Salwar,30728.jpg,http://assets.myntassets.com/v1/images/style/properties/9a1ad2d93bc7dd5a810d10f9d9b5aaf6_images.jpg
15740,Women,Footwear,Shoes,Sports Shoes,Grey,Solid,canvas,Levi's,Sports,Active,Outdoor,Nike Women Air Relentless Grey Sports Shoes,15740.jpg,http://assets.myntassets.com/v1/images/style/properties/1d8cf73c6bfc5a83421481a1196cc6a5_images.jpg
31144,Men,Apparel,Topwear,Tshirts,Pink,Geometric,cotton,Zara,Casual,Everyday,Basic,Gini and Jony Men Printed Pink T-shirt,31144.jpg,http://assets.myntassets.com/v1/images/style/properties/deba391102cf15058addefecf16dc72e_images.jpg
